"Row","Paper","Cohort","Title","Aim","Year","DOI","Country","Condition","Male_age","Data_from","Trait_description","Trait","Broad_trait","Dura_min","Dura_max","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Age16","Age17","x_1","x_2","x_3","x_4","x_5","x_6","x_7","x_8","x_9","x_10","x_11","x_12","x_13","x_14","x_15","x_16","x_17","sd_1","sd_2","sd_3","sd_4","sd_5","sd_6","sd_7","sd_8","sd_9","sd_10","sd_11","sd_12","sd_13","sd_14","sd_15","sd_16","sd_17","se_1","se_2","se_3","se_4","se_5","se_6","se_7","se_8","se_9","se_10","se_11","se_12","se_13","se_14","se_15","se_16","se_17","n_1","n_2","n_3","n_4","n_5","n_6","n_7","n_8","n_9","n_10","n_11","n_12","n_13","n_14","n_15","n_16","n_17","Nsamples_1","Nsamples_2","Nsamples_3","Nsamples_4","N_unique_males","N_total","N_test","Test_stat","Value","SE_beta","CI_low_OR","CI_high_OR","Calculation","Multiplier","Sampling","Study_type","Comments","count_data_columns","AgeAs","corr","N_effective","Zrtemp","ZrFinal","VZr"
"RH266","H68","H68B","Sperm characteristics in normal and abnormal ejaculates are differently influenced by the length of ejaculatory abstinence","Abstinence",2022,"https://doi.org/10.1111/andr.13222","India","Infertile",NA,"table 2","% viable","Viability","Viability",0,15,1,4,6.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.75,54.81,50.81,52.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.65,11.62,13.09,14.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.559217895258977,0.394408499548538,0.95468636935372,1.3881868552533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,434,868,188,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1592,1592,NA,"",NA,NA,NA,NA,"Simulation",1,"Cross sectional","Retrospective","",4,"Groups04",-0.109279737301758,1592,-0.109717889506166,-0.109717889506166,0.000629326620516048
"RH267","H68","H68B","Sperm characteristics in normal and abnormal ejaculates are differently influenced by the length of ejaculatory abstinence","Abstinence",2022,"https://doi.org/10.1111/andr.13222","India","Infertile",NA,"table 2","% normal morphlology sperm","Morphology","Morphology",0,15,1,4,6.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.08,21.46,22.1,21.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.05,9.87,10.53,10.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.530416973614738,0.335009629134601,0.767979180236415,1.0525268381842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,434,868,188,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1592,1592,NA,"",NA,NA,NA,NA,"Simulation",1,"Cross sectional","Retrospective","",4,"Groups04",-0.0339196900964425,1592,-0.0339327077983001,-0.0339327077983001,0.000629326620516048
"RH268","H68","H68C","Sperm characteristics in normal and abnormal ejaculates are differently influenced by the length of ejaculatory abstinence","Abstinence",2022,"https://doi.org/10.1111/andr.13222","India","Infertile",NA,"table 2","% total motility","Motility","Sperm performance",0,15,1,4,6.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.95,28.22,27.14,28.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.3,9.52,10.12,9.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.04580655008763,0.569947491764966,0.905160317291915,0.898211898932883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,279,125,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,605,605,NA,"",NA,NA,NA,NA,"Simulation",1,"Cross sectional","Retrospective","",4,"Groups04",0.00126206451217198,605,0.00126206518224761,0.00126206518224761,0.00166112956810631
"RH269","H68","H68C","Sperm characteristics in normal and abnormal ejaculates are differently influenced by the length of ejaculatory abstinence","Abstinence",2022,"https://doi.org/10.1111/andr.13222","India","Infertile",NA,"table 2","% progressive","Motility","Sperm performance",0,15,1,4,6.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.19,14.68,14.67,15.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.22,7.1,7.08,7.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.733079931226473,0.425065881463367,0.63325445122794,0.687387053659335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,279,125,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,605,605,NA,"",NA,NA,NA,NA,"Simulation",1,"Cross sectional","Retrospective","",4,"Groups04",0.0253107095437254,605,0.0253161165725345,0.0253161165725345,0.00166112956810631
"RH270","H68","H68C","Sperm characteristics in normal and abnormal ejaculates are differently influenced by the length of ejaculatory abstinence","Abstinence",2022,"https://doi.org/10.1111/andr.13222","India","Infertile",NA,"table 2","% viable","Viability","Viability",0,15,1,4,6.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.05,40.33,34.85,33.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.42,16.2,14.95,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.56566378663604,0.969868630944584,1.33716865054487,1.2747548783982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,279,125,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,605,605,NA,"",NA,NA,NA,NA,"Simulation",1,"Cross sectional","Retrospective","",4,"Groups04",-0.140654223699903,605,-0.141592941351904,-0.141592941351904,0.00166112956810631
"RH271","H68","H68C","Sperm characteristics in normal and abnormal ejaculates are differently influenced by the length of ejaculatory abstinence","Abstinence",2022,"https://doi.org/10.1111/andr.13222","India","Infertile",NA,"table 2","% normal morphlology sperm","Morphology","Morphology",0,15,1,4,6.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.69,21.44,20.72,21.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.69,10.92,9.09,11.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1869396670412,0.653763299377461,0.813034316618923,1.08746396934123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,279,125,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,605,605,NA,"",NA,NA,NA,NA,"Simulation",1,"Cross sectional","Retrospective","",4,"Groups04",-0.019185980842339,605,-0.0191883354941622,-0.0191883354941622,0.00166112956810631
"RH272","H68","H68D","Sperm characteristics in normal and abnormal ejaculates are differently influenced by the length of ejaculatory abstinence","Abstinence",2022,"https://doi.org/10.1111/andr.13222","India","Infertile",NA,"table 2","% total motility","Motility","Sperm performance",0,15,1,4,6.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.59,23.95,23.24,21.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.05,10.59,10.86,10.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.665577509425185,0.409433054367828,0.747633232432164,0.902918024465183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,228,669,211,146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1254,1254,NA,"",NA,NA,NA,NA,"Simulation",1,"Cross sectional","Retrospective","",4,"Groups04",-0.0851259576119068,1254,-0.0853324759970363,-0.0853324759970363,0.000799360511590727
"RH273","H68","H68D","Sperm characteristics in normal and abnormal ejaculates are differently influenced by the length of ejaculatory abstinence","Abstinence",2022,"https://doi.org/10.1111/andr.13222","India","Infertile",NA,"table 2","% progressive","Motility","Sperm performance",0,15,1,4,6.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.04,12,11.83,11.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.77,7.1,6.99,7.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.448354202866517,0.274501858924606,0.481211445184238,0.613255963454355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,228,669,211,146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1254,1254,NA,"",NA,NA,NA,NA,"Simulation",1,"Cross sectional","Retrospective","",4,"Groups04",-0.037096508422697,1254,-0.0371135392854099,-0.0371135392854099,0.000799360511590727
"RH274","H68","H68D","Sperm characteristics in normal and abnormal ejaculates are differently influenced by the length of ejaculatory abstinence","Abstinence",2022,"https://doi.org/10.1111/andr.13222","India","Infertile",NA,"table 2","% viable","Viability","Viability",0,15,1,4,6.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.81,34.87,33.09,29.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.28,13.94,14.36,13.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.945716102944441,0.53895153709986,0.988583169219694,1.11395752605879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,228,669,211,146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1254,1254,NA,"",NA,NA,NA,NA,"Simulation",1,"Cross sectional","Retrospective","",4,"Groups04",-0.102092306233803,1254,-0.102449238277492,-0.102449238277492,0.000799360511590727
"RH275","H68","H68D","Sperm characteristics in normal and abnormal ejaculates are differently influenced by the length of ejaculatory abstinence","Abstinence",2022,"https://doi.org/10.1111/andr.13222","India","Infertile",NA,"table 2","% normal morphlology sperm","Morphology","Morphology",0,15,1,4,6.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.68,16.83,16.22,18.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.66,9.26,8.35,10.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.705975746315668,0.358012283611528,0.574837706335964,0.874779424252703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,228,669,211,146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1254,1254,NA,"",NA,NA,NA,NA,"Simulation",1,"Cross sectional","Retrospective","",4,"Groups04",0.00621930510192548,1254,0.00621938529085434,0.00621938529085434,0.000799360511590727
"RH276","H68","H68A","Sperm characteristics in normal and abnormal ejaculates are differently influenced by the length of ejaculatory abstinence","Abstinence",2022,"https://doi.org/10.1111/andr.13222","India","Healthy",NA,"supplementary table 1","tunel index- dna frag %","DNA damage","Intra-cellular",0,15,1,4,6.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,16.1,17.5,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.76,7.02,7.26,7.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.619688183991071,0.403955607029202,0.729657453878188,0.764679863810763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119,302,99,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,605,605,NA,"",NA,NA,NA,NA,"Simulation",-1,"Cross sectional","Retrospective","",4,"Groups04",0.100831400002556,605,0.101175216442919,-0.101175216442919,0.00166112956810631
"RH277","H68","H68D","Sperm characteristics in normal and abnormal ejaculates are differently influenced by the length of ejaculatory abstinence","Abstinence",2022,"https://doi.org/10.1111/andr.13222","India","Infertile",NA,"supplementary table 1","tunel index- dna frag %","DNA damage","Intra-cellular",0,15,1,4,6.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.2,19.9,20.5,20.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.02,6.88,7.26,7.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.783992284680802,0.625454545454545,1.05897983827471,1.28714801013714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,121,47,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,239,239,NA,"",NA,NA,NA,NA,"Simulation",-1,"Cross sectional","Retrospective","",4,"Groups04",0.21544691868053,239,0.218876444974314,-0.218876444974314,0.00423728813559322
"RH290","H71","H71A","SPERM PARAMETERS OF THE INFERTILE PATIENTS IN RELATION TO SOCIO DEMOGRAPHIC FACTORS","Other",2022,"https://www.eurchembull.com/uploads/paper/cebb4a6ae5dd5f2311289c6c6a7b21ff.pdf","Iraq","Infertile",NA,"table 5","% progressive","Motility","Sperm performance",2,7,2.5,4.5,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.27,40.13,48.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.21,12.83,16.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,22,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,22,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,60,NA,"",NA,NA,NA,NA,"Simulation",1,"Cross sectional","Retrospective","",3,"Groups03",0.33768244615935,60,0.351474374153284,0.351474374153284,0.0175438596491228
"RH291","H71","H71A","SPERM PARAMETERS OF THE INFERTILE PATIENTS IN RELATION TO SOCIO DEMOGRAPHIC FACTORS","Other",2022,"https://www.eurchembull.com/uploads/paper/cebb4a6ae5dd5f2311289c6c6a7b21ff.pdf","Iraq","Infertile",NA,"table 5","% normal morphlology sperm","Morphology","Morphology",2,7,2.5,4.5,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.91,29.34,29.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.38,9.31,10.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,22,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,22,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,60,NA,"",NA,NA,NA,NA,"Simulation",1,"Cross sectional","Retrospective","",3,"Groups03",0.0167838562859303,60,0.0167854325443312,0.0167854325443312,0.0175438596491228
"RH294","H73","H73A","The applicability of the flow cytometric sperm chromatin structure assay in epidemiological studies","Other",1998,"10.1093/humrep/13.9.2495","Denmark","Healthy",36.5,"table 3","sperm chromatin structure damage- based on flouresnce intensity","DNA damage","Intra-cellular",0,7,1,3,5,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218.9,222.7,233.2,230.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.6,76.5,84.6,83.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.1071035644753,6.73544943339102,13.5468418119104,15.0509243098437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,129,39,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,227,277,NA,"",NA,NA,NA,NA,"Simulation",-1,"Cross sectional","Retrospective","x represents mean od the group, SD represents SD of the group i.e. between sample/male variation. +- signs show within sample between sperm variation, thus these arent used for SD. Sample size of males = % of males multiplied by 277 (total sample size) /100",4,"Groups04",0.0564421873424044,235.501872659176,0.056502238512663,-0.056502238512663,0.00430104062630884
"RH298","H75","H75A","The effect of age and abstinence time on semen quality a retrospective study","Abstinence",2022,"10.4103/aja202165","China","Healthy",32.3,"table 2","% progressive","Motility","Sperm performance",2,7,2,3,4,5,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.7,38.6,39.5,37.9,37.9,34.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.9,16.3,16.5,17,16.2,15.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.34876683475028,0.57272362067494,0.570664432689512,0.64764842009554,1.0125,1.09921986596199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157,810,836,689,256,204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2952,2952,NA,"",NA,NA,NA,NA,"Simulation",1,"Cross sectional","Retrospective","",6,"Groups06",-0.0445503635970644,2952,-0.0445798722989763,-0.0445798722989763,0.000339097999321804
"RH299","H75","H75A","The effect of age and abstinence time on semen quality a retrospective study","Abstinence",2022,"10.4103/aja202165","China","Healthy",32.3,"table 2","% normal morphlology sperm","Morphology","Morphology",2,7,2,3,4,5,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.6,7.6,7.6,7.5,7.7,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1,5.1,3.8,4,4.1,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.327215622631725,0.179195734076208,0.131425748134554,0.152387863551892,0.25625,0.273054616385462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157,810,836,689,256,204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2952,2952,NA,"",NA,NA,NA,NA,"Simulation",1,"Cross sectional","Retrospective","",6,"Groups06",-0.0178795282192286,2952,-0.0178814338125494,-0.0178814338125494,0.000339097999321804
"RH3","H1","H1A","Influence of the abstinence period on human sperm quality: analysis of 2,458 semen samples","Abstinence",2017,"10.5935/1518-0557.20170052","Brazil","Infertile",37.7,"table 1","% normal morphlology sperm","Morphology","Morphology",0,5,1,3.5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,0.9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.4,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.064018439966448,0.0318511028635303,0.107188440151574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,244,1932,282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2458,2458,NA,"",NA,NA,NA,NA,"Simulation",1,"Cross sectional","Prospective","",3,"Groups03",0.0487200356284747,2458,0.0487586385933603,0.0487586385933603,0.000407331975560081
"RH300","H75","H75A","The effect of age and abstinence time on semen quality a retrospective study","Abstinence",2022,"10.4103/aja202165","China","Healthy",32.3,"table 2","% DNA fragmented","DNA damage","Intra-cellular",2,7,2,3,4,5,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.9,13.3,13.6,14.7,15.1,16.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.9,7.7,7.8,8.2,8.3,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.630488638729422,0.270550422036628,0.269768640907769,0.312395120281378,0.51875,0.567113434031344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157,810,836,689,256,204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2952,2952,NA,"",NA,NA,NA,NA,"Simulation",-1,"Cross sectional","Retrospective","",6,"Groups06",0.107758405272664,2952,0.108178427867147,-0.108178427867147,0.000339097999321804
"RH312","H80","H80A","The Variability of Semen Parameters With Sexual Abstinence Using Mail-in Sperm Testing Is Similar to That Seen With Traditional In-Office Semen Analysis","Abstinence",2023,"https://doi.org/10.1177/15579883231197910","USA","Healthy",34.9,"table2","% total motility","Motility","Sperm performance",1,10,1.5,4,7,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.9,40.6,33.2,28.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.6,22.8,24,21.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.48961879131082,0.546117575432446,1.572292276993,4.13871097945104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,251,1743,233,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2255,2255,NA,"",NA,NA,NA,NA,"Simulation",1,"Cross sectional","Retrospective","",4,"Groups04",-0.108795786822409,2255,-0.109228115985016,-0.109228115985016,0.00044404973357016
"RH313","H80","H80A","The Variability of Semen Parameters With Sexual Abstinence Using Mail-in Sperm Testing Is Similar to That Seen With Traditional In-Office Semen Analysis","Abstinence",2023,"https://doi.org/10.1177/15579883231197910","USA","Healthy",34.9,"table2","% progressive motiltiy","Motility","Sperm performance",1,10,1.5,4,7,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.6,28.9,22,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.6,18.6,17.6,17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.23714103007169,0.445516969431732,1.15301433646154,3.30718913883074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,251,1743,233,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2255,2255,NA,"",NA,NA,NA,NA,"Simulation",1,"Cross sectional","Retrospective","",4,"Groups04",-0.126587395927138,2255,-0.127270133349446,-0.127270133349446,0.00044404973357016
"RH314","H80","H80A","The Variability of Semen Parameters With Sexual Abstinence Using Mail-in Sperm Testing Is Similar to That Seen With Traditional In-Office Semen Analysis","Abstinence",2023,"https://doi.org/10.1177/15579883231197910","USA","Healthy",34.9,"table2","% normal morphlology sperm","Morphology","Morphology",1,10,1.5,4,7,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.7,11.7,11.7,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.7,12.1,12.3,8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.73849745162443,0.289825555383009,0.805799791958915,1.68194190489106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,251,1743,233,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2255,2255,NA,"",NA,NA,NA,NA,"Simulation",1,"Cross sectional","Retrospective","",4,"Groups04",0.00486782170020332,2255,0.0048678601495449,0.0048678601495449,0.00044404973357016
"RH315","H80","H80A","The Variability of Semen Parameters With Sexual Abstinence Using Mail-in Sperm Testing Is Similar to That Seen With Traditional In-Office Semen Analysis","Abstinence",2023,"https://doi.org/10.1177/15579883231197910","USA","Healthy",34.9,"table2","VAP","Velocity","Sperm performance",1,10,1.5,4,7,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.9,33.8,31.7,36.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.2,12.7,14,14.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8331766120891,0.304197070525968,0.917170494912586,2.75914065296736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,251,1743,233,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2255,2255,NA,"",NA,NA,NA,NA,"Simulation",1,"Cross sectional","Retrospective","",4,"Groups04",0.0107164927795939,2255,0.0107169030467011,0.0107169030467011,0.00044404973357016
"RH316","H80","H80B","The Variability of Semen Parameters With Sexual Abstinence Using Mail-in Sperm Testing Is Similar to That Seen With Traditional In-Office Semen Analysis","Abstinence",2023,"https://doi.org/10.1177/15579883231197910","USA","Infertile",35,"table3","% total motility","Motility","Sperm performance",1,10,1.5,4,7,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.3,19.4,12.4,11.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.2,15.4,13,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.32715571124085,0.69927797814721,1.93792558049982,3.83333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149,485,45,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,688,688,NA,"",NA,NA,NA,NA,"Simulation",1,"Cross sectional","Retrospective","",4,"Groups04",-0.145231372077376,688,-0.146265572779809,-0.146265572779809,0.00145985401459854
"RH317","H80","H80B","The Variability of Semen Parameters With Sexual Abstinence Using Mail-in Sperm Testing Is Similar to That Seen With Traditional In-Office Semen Analysis","Abstinence",2023,"https://doi.org/10.1177/15579883231197910","USA","Infertile",35,"table3","% progressive motiltiy","Motility","Sperm performance",1,10,1.5,4,7,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.8,14.3,7.9,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.3,12.9,9.4,9.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.08957845429032,0.585758825850585,1.40126926589987,3.23333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149,485,45,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,688,688,NA,"",NA,NA,NA,NA,"Simulation",1,"Cross sectional","Retrospective","",4,"Groups04",-0.160711782624853,688,-0.162117264637726,-0.162117264637726,0.00145985401459854
"RH318","H80","H80B","The Variability of Semen Parameters With Sexual Abstinence Using Mail-in Sperm Testing Is Similar to That Seen With Traditional In-Office Semen Analysis","Abstinence",2023,"https://doi.org/10.1177/15579883231197910","USA","Infertile",35,"table3","% normal morphlology sperm","Morphology","Morphology",1,10,1.5,4,7,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2,6.3,5.7,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.7,7.2,9.2,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.548885386747757,0.32693515861428,1.37145502619987,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149,485,45,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,688,688,NA,"",NA,NA,NA,NA,"Simulation",1,"Cross sectional","Retrospective","",4,"Groups04",-0.0269151992719231,688,-0.0269217014726102,-0.0269217014726102,0.00145985401459854
