Row,Paper,Cohort,Title,Aim,Year,DOI,Country,Condition,Male_age,Data_from,Trait_description,Trait,Broad_trait,Dura_min,Dura_max,Age1,Age2,Age3,Age4,Age5,Age6,Age7,Age8,Age9,Age10,Age11,Age12,Age13,Age14,Age15,Age16,Age17,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,sd_1,sd_2,sd_3,sd_4,sd_5,sd_6,sd_7,sd_8,sd_9,sd_10,sd_11,sd_12,sd_13,sd_14,sd_15,sd_16,sd_17,se_1,se_2,se_3,se_4,se_5,se_6,se_7,se_8,se_9,se_10,se_11,se_12,se_13,se_14,se_15,se_16,se_17,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,n_11,n_12,n_13,n_14,n_15,n_16,n_17,Nsamples_1,Nsamples_2,Nsamples_3,Nsamples_4,N_unique_males,N_total,N_test,Test_stat,Value,SE_beta,CI_low_OR,CI_high_OR,Calculation,Multiplier,Sampling,Study_type,Comments
RH390,H103,H103A,Sperm donor lifestyle survey: modifiable risk factors for potential sperm donors,Other,2021,10.1007/s10815-021-02322-x,China,Healthy,29.5,table 1,% progressive,Motility,Sperm performance,0,14,1,3,4,5,6,7,9,12.5,14,,,,,,,,,49.8,49.1,48.5,47.4,47.3,46.1,44.2,44,44.1,,,,,,,,,12.7,12.1,11.6,11.6,11.6,12.4,14.4,11.5,13,,,,,,,,,,,,,,,,,,,,,,,,,,260,524,549,373,103,848,119,135,331,,,,,,,,,,,,,3242,3242,,,,,,,Simulation,1,Cross sectional,Retrospective,
RH391,H104,H104A,"Trends in sperm quality by computer-assisted sperm analysis of 49,189 men during 2015â€“2021 in a fertility center from China",Other,2023,10.3389/fendo.2023.1194455,China,Infertile,32.5,Figure 4H and from Yuchuan,VAP,Velocity,Sperm performance,2,7,2,3,4,5,6,7,,,,,,,,,,,,60.594,60.111,58.475,58.873,57.668,58.162,,,,,,,,,,,,11.911,11.979,11.151,10.982,10.663,10.649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,1069,1261,961,361,1358,,,,,,,,,,,,,,,,5240,5240,,,,,,,Simulation,1,Cross sectional,Retrospective,Data on sample sizes from Yuchuan
RH392,H104,H104B,"Trends in sperm quality by computer-assisted sperm analysis of 49,189 men during 2015â€“2021 in a fertility center from China",Other,2023,10.3389/fendo.2023.1194455,China,Infertile,32.5,Figure 4H and from Yuchuan,VAP,Velocity,Sperm performance,2,7,2,3,4,5,6,7,,,,,,,,,,,,61.836,60.991,59.909,59.533,59.196,58.453,,,,,,,,,,,,10.748,10.914,10.288,10.354,10.076,10.427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,518,1338,1237,810,283,1281,,,,,,,,,,,,,,,,5467,5467,,,,,,,Simulation,1,Cross sectional,Retrospective,Data on sample sizes from Yuchuan
RH393,H104,H104C,"Trends in sperm quality by computer-assisted sperm analysis of 49,189 men during 2015â€“2021 in a fertility center from China",Other,2023,10.3389/fendo.2023.1194455,China,Infertile,32.5,Figure 4H and from Yuchuan,VAP,Velocity,Sperm performance,2,7,2,3,4,5,6,7,,,,,,,,,,,,61.613,60.234,59.364,58.831,58.51,59.212,,,,,,,,,,,,10.905,10.312,10.524,10.059,10.554,10.071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,1044,808,577,197,784,,,,,,,,,,,,,,,,3710,3710,,,,,,,Simulation,1,Cross sectional,Retrospective,Data on sample sizes from Yuchuan
RH394,H104,H104D,"Trends in sperm quality by computer-assisted sperm analysis of 49,189 men during 2015â€“2021 in a fertility center from China",Other,2023,10.3389/fendo.2023.1194455,China,Infertile,32.5,Figure 4H and from Yuchuan,VAP,Velocity,Sperm performance,2,7,2,3,4,5,6,7,,,,,,,,,,,,60.277,60.236,59.017,58.896,58.809,58.411,,,,,,,,,,,,8.879,8.869,8.233,7.922,8.691,7.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470,1240,903,625,198,925,,,,,,,,,,,,,,,,4361,4361,,,,,,,Simulation,1,Cross sectional,Retrospective,Data on sample sizes from Yuchuan
RH395,H104,H104E,"Trends in sperm quality by computer-assisted sperm analysis of 49,189 men during 2015â€“2021 in a fertility center from China",Other,2023,10.3389/fendo.2023.1194455,China,Infertile,32.5,Figure 4H and from Yuchuan,VAP,Velocity,Sperm performance,2,7,2,3,4,5,6,7,,,,,,,,,,,,66.609,64.958,66.119,64.119,64.483,64.344,,,,,,,,,,,,12.477,11.808,12.7,11.788,12.243,11.487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264,752,622,445,164,718,,,,,,,,,,,,,,,,2965,2965,,,,,,,Simulation,1,Cross sectional,Retrospective,Data on sample sizes from Yuchuan
RH396,H104,H104F,"Trends in sperm quality by computer-assisted sperm analysis of 49,189 men during 2015â€“2021 in a fertility center from China",Other,2023,10.3389/fendo.2023.1194455,China,Infertile,32.5,Figure 4H and from Yuchuan,VAP,Velocity,Sperm performance,2,7,2,3,4,5,6,7,,,,,,,,,,,,74.673,73.919,72.566,72.334,71.54,71.537,,,,,,,,,,,,14.167,14.862,14.058,13.418,13.415,13.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189,471,425,248,105,384,,,,,,,,,,,,,,,,1822,1822,,,,,,,Simulation,1,Cross sectional,Retrospective,Data on sample sizes from Yuchuan
RH397,H104,H104G,"Trends in sperm quality by computer-assisted sperm analysis of 49,189 men during 2015â€“2021 in a fertility center from China",Other,2023,10.3389/fendo.2023.1194455,China,Infertile,32.5,Figure 4H and from Yuchuan,VAP,Velocity,Sperm performance,2,7,2,3,4,5,6,7,,,,,,,,,,,,77.885,78.961,77.971,76.215,76.136,75.565,,,,,,,,,,,,12.431,10.876,10.911,11.192,12.435,10.964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,252,212,166,53,225,,,,,,,,,,,,,,,,1010,1010,,,,,,,Simulation,1,Cross sectional,Retrospective,Data on sample sizes from Yuchuan
RH398,H104,H104A,"Trends in sperm quality by computer-assisted sperm analysis of 49,189 men during 2015â€“2021 in a fertility center from China",Other,2023,10.3389/fendo.2023.1194455,China,Infertile,32.5,Figure 4F and from Yuchuan,VCL,Velocity,Sperm performance,2,7,2,3,4,5,6,7,,,,,,,,,,,,98.103,96.854,94.063,94.343,91.803,93.015,,,,,,,,,,,,23.25,23.347,21.518,20.675,20.203,20.519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,1069,1261,961,361,1358,,,,,,,,,,,,,,,,5240,5240,,,,,,,Simulation,1,Cross sectional,Retrospective,Data on sample sizes from Yuchuan
RH399,H104,H104B,"Trends in sperm quality by computer-assisted sperm analysis of 49,189 men during 2015â€“2021 in a fertility center from China",Other,2023,10.3389/fendo.2023.1194455,China,Infertile,32.5,Figure 4F and from Yuchuan,VCL,Velocity,Sperm performance,2,7,2,3,4,5,6,7,,,,,,,,,,,,101.705,99.751,98.007,96.795,96.199,94.914,,,,,,,,,,,,21.498,21.352,20.069,20.185,19.641,19.947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,518,1338,1237,810,283,1281,,,,,,,,,,,,,,,,5467,5467,,,,,,,Simulation,1,Cross sectional,Retrospective,Data on sample sizes from Yuchuan
RH4,H1,H1A,"Influence of the abstinence period on human sperm quality: analysis of 2,458 semen samples",Abstinence,2017,10.5935/1518-0557.20170052,Brazil,Infertile,37.7,table 1,% viable,Viability,Viability,0,5,1,3.5,5,,,,,,,,,,,,,,,66.9,65,61.3,,,,,,,,,,,,,,,14,15,14.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244,1932,282,,,,,,,,,,,,,,,,,,,2458,2458,,,,,,,Simulation,1,Cross sectional,Prospective,
RH400,H104,H104C,"Trends in sperm quality by computer-assisted sperm analysis of 49,189 men during 2015â€“2021 in a fertility center from China",Other,2023,10.3389/fendo.2023.1194455,China,Infertile,32.5,Figure 4F and from Yuchuan,VCL,Velocity,Sperm performance,2,7,2,3,4,5,6,7,,,,,,,,,,,,102.234,100.013,97.312,96.479,96.676,97.333,,,,,,,,,,,,20.642,19.7,19.075,17.861,18.827,18.329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,1044,808,577,197,784,,,,,,,,,,,,,,,,3710,3710,,,,,,,Simulation,1,Cross sectional,Retrospective,Data on sample sizes from Yuchuan
RH401,H104,H104D,"Trends in sperm quality by computer-assisted sperm analysis of 49,189 men during 2015â€“2021 in a fertility center from China",Other,2023,10.3389/fendo.2023.1194455,China,Infertile,32.5,Figure 4F and from Yuchuan,VCL,Velocity,Sperm performance,2,7,2,3,4,5,6,7,,,,,,,,,,,,103.761,103.022,100.609,100.308,98.665,99.307,,,,,,,,,,,,19.513,19.638,17.598,16.785,17.932,17.676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470,1240,903,625,198,925,,,,,,,,,,,,,,,,4361,4361,,,,,,,Simulation,1,Cross sectional,Retrospective,Data on sample sizes from Yuchuan
RH402,H104,H104E,"Trends in sperm quality by computer-assisted sperm analysis of 49,189 men during 2015â€“2021 in a fertility center from China",Other,2023,10.3389/fendo.2023.1194455,China,Infertile,32.5,Figure 4F and from Yuchuan,VCL,Velocity,Sperm performance,2,7,2,3,4,5,6,7,,,,,,,,,,,,110.411,106.79,107.387,104.251,104.305,104.32,,,,,,,,,,,,21.548,20.95,21.269,19.455,21.046,18.554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264,752,622,445,164,718,,,,,,,,,,,,,,,,2965,2965,,,,,,,Simulation,1,Cross sectional,Retrospective,Data on sample sizes from Yuchuan
RH403,H104,H104F,"Trends in sperm quality by computer-assisted sperm analysis of 49,189 men during 2015â€“2021 in a fertility center from China",Other,2023,10.3389/fendo.2023.1194455,China,Infertile,32.5,Figure 4F and from Yuchuan,VCL,Velocity,Sperm performance,2,7,2,3,4,5,6,7,,,,,,,,,,,,113.904,112.379,109.579,109.187,107.62,107.661,,,,,,,,,,,,22.161,22.54,21.166,19.907,18.064,20.915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189,471,425,248,105,384,,,,,,,,,,,,,,,,1822,1822,,,,,,,Simulation,1,Cross sectional,Retrospective,Data on sample sizes from Yuchuan
RH404,H104,H104G,"Trends in sperm quality by computer-assisted sperm analysis of 49,189 men during 2015â€“2021 in a fertility center from China",Other,2023,10.3389/fendo.2023.1194455,China,Infertile,32.5,Figure 4F and from Yuchuan,VCL,Velocity,Sperm performance,2,7,2,3,4,5,6,7,,,,,,,,,,,,118.529,118.713,116.199,114.944,111.357,112.007,,,,,,,,,,,,23.496,20.859,21.24,22.066,20.117,19.811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,252,212,166,53,225,,,,,,,,,,,,,,,,1010,1010,,,,,,,Simulation,1,Cross sectional,Retrospective,Data on sample sizes from Yuchuan
RH416,H109,H109A,"Age, sexual abstinence duration, sperm morphology, and motility are predictors of sperm DNA fragmentation",Other,2024,https://doi.org/10.1002/rmb2.12585,Japan,Infertile,37,Data from Hiroki Takeuchi,Total motility,Motility,Sperm performance,0,30,0,1,2,3,4,5,6,7,8,9,10,11,13.57142857,15,18,20,30,71.5,52.3,72.7,69.9,64.9,62.7,67.1,68.5,48,11.5,73.1,79.5,72.4,75,57,72.5,64,22.6,20.5,22.1,24.4,26.8,29,25.8,25.3,20.8,2.9,19.3,17.9,29.4,0,0,16.7,19.6,,,,,,,,,,,,,,,,,,19,4,35,65,53,51,24,57,5,2,19,2,8,1,1,2,9,,,,,357,357,,,,,,,Simulation,1,Cross sectional,Retrospective,
RH417,H109,H109A,"Age, sexual abstinence duration, sperm morphology, and motility are predictors of sperm DNA fragmentation",Other,2024,https://doi.org/10.1002/rmb2.12585,Japan,Infertile,37,Data from Hiroki Takeuchi,Morphology normal,Morphology,Morphology,0,30,0,1,2,3,4,5,6,7,8,9,10,11,13.57142857,15,18,20,30,4.5,5,4.8,4.6,4.4,4.7,4.9,4.7,3.8,6,5.4,2.5,4.4,5,6,4,4.7,1.2,1.5,1.5,1.9,1.5,1.6,1.9,1.3,2,1.2,2.1,1.7,1.7,0,0,1.2,1,,,,,,,,,,,,,,,,,,19,4,35,65,53,51,24,57,5,2,19,2,8,1,1,2,9,,,,,357,357,,,,,,,Simulation,1,Cross sectional,Retrospective,
RH418,H109,H109A,"Age, sexual abstinence duration, sperm morphology, and motility are predictors of sperm DNA fragmentation",Other,2024,https://doi.org/10.1002/rmb2.12585,Japan,Infertile,37,Data from Hiroki Takeuchi,VAP,Velocity,Sperm performance,0,30,0,1,2,3,4,5,6,7,8,9,10,11,13.57142857,15,18,20,30,21.7,15.9,21.8,20.6,18.4,18.6,19.1,19.5,16.9,13.9,20.5,13.9,17.7,20.4,19.1,19.8,16.7,4.9,5.1,6.8,5.4,6.2,5.7,6.4,6.1,5.3,4.5,6.3,6.8,5,0,0,3.2,4.5,,,,,,,,,,,,,,,,,,19,4,35,65,53,51,24,57,5,2,19,2,8,1,1,2,9,,,,,357,357,,,,,,,Simulation,1,Cross sectional,Retrospective,
RH419,H109,H109A,"Age, sexual abstinence duration, sperm morphology, and motility are predictors of sperm DNA fragmentation",Other,2024,https://doi.org/10.1002/rmb2.12585,Japan,Infertile,37,Data from Hiroki Takeuchi,DFI%,DNA damage,Intra-cellular,0,30,0,1,2,3,4,5,6,7,8,9,10,11,13.57142857,15,18,20,30,15.2,10.8,14.5,15.9,15.5,15.2,15.9,19.7,21.3,18.8,15,18.3,20.3,30,36.2,28.1,30.1,8.1,4.7,12,13,9.7,10.5,9.9,14.4,8.3,8.3,9.1,8.8,8.5,0,0,3.1,10,,,,,,,,,,,,,,,,,,19,4,35,65,53,51,24,57,5,2,19,2,8,1,1,2,9,,,,,357,357,,,,,,,Simulation,-1,Cross sectional,Retrospective,Higher abstinence is bad and leads to more DFI
RH47,H16,H16A,"Does duration of abstinence affect the live-birth rate after assisted reproductive technology? A retrospective analysis of 1,030 cycles",Abstinence,2017,10.1016/j.fertnstert.2017.08.034,India,Infertile,37,Supplementary table 2,Progressively motile %,Motility,Sperm performance,2,7,3,6,7,,,,,,,,,,,,,,,37.7,35.2,30.6,,,,,,,,,,,,,,,20.2,20.3,19.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,536,332,162,,,,,,,,,,,,,,,,,,,1030,1030,,,,,,,Simulation,1,Cross sectional,Retrospective,
RH48,H16,H16A,"Does duration of abstinence affect the live-birth rate after assisted reproductive technology? A retrospective analysis of 1,030 cycles",Abstinence,2017,10.1016/j.fertnstert.2017.08.034,India,Infertile,37,Supplementary table 3,"Fertilisation rate (ICSI)- % embryos fertilised using ICSI, where one sperm inseminated in one egg",Fertilization rate,Fertilisation and post-fertilisation,2,7,3,6,7,,,,,,,,,,,,,,,77,75,75,,,,,,,,,,,,,,,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,536,332,162,,,,,,,,,,,,,,,,,,,1030,1030,,,,,,,Simulation,1,Cross sectional,Retrospective,
RH5,H1,H1A,"Influence of the abstinence period on human sperm quality: analysis of 2,458 semen samples",Abstinence,2017,10.5935/1518-0557.20170052,Brazil,Infertile,37.7,table 2,DNA fragmentation % sperm,DNA damage,Intra-cellular,0,5,1,3.5,5,,,,,,,,,,,,,,,14.5,15.3,17.1,,,,,,,,,,,,,,,8.2,8.4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244,1932,282,,,,,,,,,,,,,,,,,,,2458,2458,,,,,,,Simulation,-1,Cross sectional,Prospective,
RH51,H17,H17A,Duration of sexual abstinence: epididymal and accessory sex gland secretions and their relationship to sperm motility,Abstinence,2005,https://doi.org/10.1093/humrep/deh586,Sweden,Infertile,34,table 1,% normal morphlology sperm,Morphology,Morphology,2,7,2.5,4.5,6.5,,,,,,,,,,,,,,,6.75,7.25,6,,,,,,,,,,,,,,,2.91,3.429,3.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,223,75,,,,,,,,,,,,,,,,,,,422,422,,,,,,,Simulation,1,Cross sectional,Prospective,Medians and max/min converted to mean and SD using Wang et al paper
RH52,H17,H17A,Duration of sexual abstinence: epididymal and accessory sex gland secretions and their relationship to sperm motility,Abstinence,2005,https://doi.org/10.1093/humrep/deh586,Sweden,Infertile,34,table 2,% immotile,Motility,Sperm performance,2,7,2.5,4.5,6.5,,,,,,,,,,,,,,,45,40.5,50.75,,,,,,,,,,,,,,,16.9,17.17,21.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,201,63,,,,,,,,,,,,,,,,,,,375,375,,,,,,,Simulation,-1,Cross sectional,Prospective,Medians and max/min converted to mean and SD using Wang et al paper
RH53,H17,H17A,Duration of sexual abstinence: epididymal and accessory sex gland secretions and their relationship to sperm motility,Abstinence,2005,https://doi.org/10.1093/humrep/deh586,Sweden,Infertile,34,table 2,VCL,Velocity,Sperm performance,2,7,2.5,4.5,6.5,,,,,,,,,,,,,,,52.75,55.5,52.75,,,,,,,,,,,,,,,18.34,17.54,19.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,201,63,,,,,,,,,,,,,,,,,,,375,375,,,,,,,Simulation,1,Cross sectional,Prospective,Medians and max/min converted to mean and SD using Wang et al paper
RH54,H17,H17A,Duration of sexual abstinence: epididymal and accessory sex gland secretions and their relationship to sperm motility,Abstinence,2005,https://doi.org/10.1093/humrep/deh586,Sweden,Infertile,34,table 2,VSL,Velocity,Sperm performance,2,7,2.5,4.5,6.5,,,,,,,,,,,,,,,23.5,21.5,20.75,,,,,,,,,,,,,,,8.67,7.3,8.366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,201,63,,,,,,,,,,,,,,,,,,,375,375,,,,,,,Simulation,1,Cross sectional,Prospective,Medians and max/min converted to mean and SD using Wang et al paper
RH55,H17,H17A,Duration of sexual abstinence: epididymal and accessory sex gland secretions and their relationship to sperm motility,Abstinence,2005,https://doi.org/10.1093/humrep/deh586,Sweden,Infertile,34,table 2,VAP,Velocity,Sperm performance,2,7,2.5,4.5,6.5,,,,,,,,,,,,,,,32.75,33,33,,,,,,,,,,,,,,,10.84,9.86,12.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,201,63,,,,,,,,,,,,,,,,,,,375,375,,,,,,,Simulation,1,Cross sectional,Prospective,Medians and max/min converted to mean and SD using Wang et al paper
RH65,H22,H22A,Effect of age and abstinence on semen quality: A retrospective study in a teaching hospital,Abstinence,2014,10.1016/S2305-0500(14)60017-8,India,Infertile,35,figure 3,% normal morphlology sperm,Morphology,Morphology,2,7,2.5,4.5,6.5,,,,,,,,,,,,,,,26.25,26,26.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.4,0.8,,,,,,,,,,,,,,,243,243,243,,,,,,,,,,,,,,,,,,,729,729,,,,,,,Simulation,1,Cross sectional,Retrospective,"Sample sizes per group not reported, therefore assumed to be equal"
RH66,H22,H22A,Effect of age and abstinence on semen quality: A retrospective study in a teaching hospital,Abstinence,2014,10.1016/S2305-0500(14)60017-9,India,Infertile,35,figure 3,% progressive,Motility,Sperm performance,2,7,2.5,4.5,6.5,,,,,,,,,,,,,,,36.5,35.5,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.8,1.2,,,,,,,,,,,,,,,243,243,243,,,,,,,,,,,,,,,,,,,729,729,730,H,-13.53,,,,Simulation,1,Cross sectional,Retrospective,"Sample sizes per group not reported, therefore assumed to be equal"
RH67,H22,H22A,Effect of age and abstinence on semen quality: A retrospective study in a teaching hospital,Abstinence,2014,10.1016/S2305-0500(14)60017-10,India,Infertile,35,figure 3,% viable,Viability,Viability,2,7,2.5,4.5,6.5,,,,,,,,,,,,,,,76.5,76,74.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.9,1.2,,,,,,,,,,,,,,,243,243,243,,,,,,,,,,,,,,,,,,,729,729,730,H,-15.33,,,,Simulation,1,Cross sectional,Retrospective,"Sample sizes per group not reported, therefore assumed to be equal"
RH70,H24,H24A,Effect of ejaculatory abstinence period on fertilization and clinical outcomes in ICSI cycles: a retrospective analysis,Abstinence,2024,https://doi.org/10.1016/j.rbmo.2023.103401,Italy,Infertile,40.2,Table 1,% Progressive,Motility,Sperm performance,2,7,2,3,4,6,,,,,,,,,,,,,,33.75,33.75,31.25,31.25,,,,,,,,,,,,,,2.528,3.626,3.913,4.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3152,2207,890,670,,,,,,,,,,,,,,,,,,6919,6919,,,,,,,Simulation,1,Cross sectional,Retrospective,Medians and IQR converted to means and SD using wang et al
RH214,H58,H58A,Revisiting the impact of ejaculatory abstinence on semen quality and intracytoplasmic sperm injection outcomes,Abstinence,2018,https://doi.org/10.1111/andr.12572,Brazil,Infertile,38.17,table 6,% total motility,Motility,Sperm performance,1,20,2.5,12.5,,,,,,,,,,,,,,,,59.4,60.9,,,,,,,,,,,,,,,,1.1,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,463,355,,,,,,,,,,,,,,,,,,,,818,818,,,,,,,SMD,1,Cross sectional,Retrospective,"even tho study says prospective, they don’t randomly ""assign"" males to EA groups, and let males decide their own EA length, so its actually retrospective"
RH215,H58,H58A,Revisiting the impact of ejaculatory abstinence on semen quality and intracytoplasmic sperm injection outcomes,Abstinence,2018,https://doi.org/10.1111/andr.12572,Brazil,Infertile,38.17,table 6,% progressive,Motility,Sperm performance,1,20,2.5,12.5,,,,,,,,,,,,,,,,50.7,53.4,,,,,,,,,,,,,,,,1.2,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,463,355,,,,,,,,,,,,,,,,,,,,818,818,,,,,,,SMD,1,Cross sectional,Retrospective,sample sizes of short abs group (<=4 days) obtained by adding sample sizes from table 7. Sample size of long EA group obtained by subracting that value from 818 (i.e. from total sample size)
RH216,H58,H58A,Revisiting the impact of ejaculatory abstinence on semen quality and intracytoplasmic sperm injection outcomes,Abstinence,2018,https://doi.org/10.1111/andr.12572,Brazil,Infertile,38.17,table 6,% normal morphlology sperm,Morphology,Morphology,1,20,2.5,12.5,,,,,,,,,,,,,,,,1.4,1.5,,,,,,,,,,,,,,,,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,463,355,,,,,,,,,,,,,,,,,,,,818,818,,,,,,,SMD,1,Cross sectional,Retrospective,sample sizes of short abs group (<=4 days) obtained by adding sample sizes from table 7. Sample size of long EA group obtained by subracting that value from 818 (i.e. from total sample size)
RH217,H58,H58A,Revisiting the impact of ejaculatory abstinence on semen quality and intracytoplasmic sperm injection outcomes,Abstinence,2018,https://doi.org/10.1111/andr.12572,Brazil,Infertile,38.17,table 6,% DNA fragmented,DNA damage,Intra-cellular,1,20,2.5,12.5,,,,,,,,,,,,,,,,16.8,19.2,,,,,,,,,,,,,,,,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,463,355,,,,,,,,,,,,,,,,,,,,818,818,,,,,,,SMD,-1,Cross sectional,Retrospective,sample sizes of short abs group (<=4 days) obtained by adding sample sizes from table 7. Sample size of long EA group obtained by subracting that value from 818 (i.e. from total sample size)
RH218,H58,H58A,Revisiting the impact of ejaculatory abstinence on semen quality and intracytoplasmic sperm injection outcomes,Abstinence,2018,https://doi.org/10.1111/andr.12572,Brazil,Infertile,38.17,table 6,% fertilisation success,Fertilization rate,Fertilisation and post-fertilisation,1,20,2.5,12.5,,,,,,,,,,,,,,,,85.5,77.3,,,,,,,,,,,,,,,,2.2,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,463,355,,,,,,,,,,,,,,,,,,,,818,818,,,,,,,SMD,1,Cross sectional,Retrospective,sample sizes of short abs group (<=4 days) obtained by adding sample sizes from table 7. Sample size of long EA group obtained by subracting that value from 818 (i.e. from total sample size)
RH220,H58,H58A,Revisiting the impact of ejaculatory abstinence on semen quality and intracytoplasmic sperm injection outcomes,Abstinence,2018,https://doi.org/10.1111/andr.12572,Brazil,Infertile,38.17,table 6,% high quality day 3 blastocysts,Embryo quality,Fertilisation and post-fertilisation,1,20,2.5,12.5,,,,,,,,,,,,,,,,50.2,35.6,,,,,,,,,,,,,,,,4.7,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,463,355,,,,,,,,,,,,,,,,,,,,818,818,,,,,,,SMD,1,Cross sectional,Retrospective,sample sizes of short abs group (<=4 days) obtained by adding sample sizes from table 7. Sample size of long EA group obtained by subracting that value from 818 (i.e. from total sample size)
RH295,H74,H74A,The combination matters - distinct impact of lifestyle factors on sperm quality: a study on semen analysis of 1683 patients according to MSOME criteria,Other,2012,10.1186/1477-7827-10-115,Austria,Infertile,40.4,table 4,% progressive- grade a,Motility,Sperm performance,0,35,1,18.5,,,,,,,,,,,,,,,,4.8,4.9,,,,,,,,,,,,,,,,8.1,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,649,1033,,,,,,,,,,,,,,,,,,,,1682,1682,,,,,,,SMD,1,Cross sectional,Retrospective,
RH296,H74,H74A,The combination matters - distinct impact of lifestyle factors on sperm quality: a study on semen analysis of 1683 patients according to MSOME criteria,Other,2012,10.1186/1477-7827-10-115,Austria,Infertile,40.4,table 4,% immotile- grade d,Motility,Sperm performance,0,35,1,18.5,,,,,,,,,,,,,,,,45,45.4,,,,,,,,,,,,,,,,20.8,20.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,649,1033,,,,,,,,,,,,,,,,,,,,1682,1682,,,,,,,SMD,-1,Cross sectional,Retrospective,
RH297,H74,H74A,The combination matters - distinct impact of lifestyle factors on sperm quality: a study on semen analysis of 1683 patients according to MSOME criteria,Other,2012,10.1186/1477-7827-10-115,Austria,Infertile,40.4,table 4,% morphological defects sperm- msome grade 3,Morphology,Morphology,0,35,1,18.5,,,,,,,,,,,,,,,,50.8,50.7,,,,,,,,,,,,,,,,18.3,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,649,1033,,,,,,,,,,,,,,,,,,,,1682,1682,,,,,,,SMD,-1,Cross sectional,Retrospective,
RH72,H25,H25A,Effect of ejaculatory abstinence period on sperm DNA fragmentation and pregnancy outcome of intrauterine insemination cycles: A prospective randomized study,Abstinence,2021,https://doi.org/10.1007/s00404-020-05783-0,Turkey,Infertile,32.9,table 1,Total motility,Motility,Sperm performance,1,3,1,3,,,,,,,,,,,,,,,,64.33,65.85,,,,,,,,,,,,,,,,14.26,14.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,54,,,,,,,,,,,,,,,,,,,,106,106,,,,,,,SMD,1,Cross sectional,Prospective,
RH73,H25,H25A,Effect of ejaculatory abstinence period on sperm DNA fragmentation and pregnancy outcome of intrauterine insemination cycles: A prospective randomized study,Abstinence,2021,https://doi.org/10.1007/s00404-020-05783-0,Turkey,Infertile,32.9,table 1,Progressive motility,Motility,Sperm performance,1,3,1,3,,,,,,,,,,,,,,,,51.98,54.092,,,,,,,,,,,,,,,,16.02,17.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,54,,,,,,,,,,,,,,,,,,,,106,106,,,,,,,SMD,1,Cross sectional,Prospective,
RH74,H25,H25A,Effect of ejaculatory abstinence period on sperm DNA fragmentation and pregnancy outcome of intrauterine insemination cycles: A prospective randomized study,Abstinence,2021,https://doi.org/10.1007/s00404-020-05783-0,Turkey,Infertile,32.9,table 1,% normal morphlology sperm,Morphology,Morphology,1,3,1,3,,,,,,,,,,,,,,,,2.75,3,,,,,,,,,,,,,,,,1.32,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,54,,,,,,,,,,,,,,,,,,,,106,106,,,,,,,SMD,1,Cross sectional,Prospective,
